onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position	task
11.656	2	2-back	1.0	0	0.434	g	TL	VLI
13.671	2	2-back	0.0	1	0.659	s	TL	VLI
15.687	2	2-back	0.0	0	0.369	f	BL	VLI
17.703	2	2-back	1.0	1	1.042	s	TR	VLI
19.718	2	2-back	1.0	1	0.973	f	TR	VLI
21.734	2	2-back	0.0	1	0.707	c	TL	VLI
23.75	2	2-back	0.0	1	0.634	x	BR	VLI
25.766	2	2-back	1.0	0	0.59	c	BL	VLI
27.781	2	2-back	0.0	1	0.611	l	TL	VLI
29.797	2	2-back	0.0	0	0.681	v	TL	VLI
31.813	2	2-back	0.0	1	0.749	p	TR	VLI
33.829	2	2-back	1.0	0	0.592	v	BR	VLI
35.844	2	2-back	0.0	1	0.719	c	TL	VLI
37.86	2	2-back	0.0	1	0.786	s	TL	VLI
39.876	2	2-back	0.0	0	n/a	t	BL	VLI
41.892	2	2-back	0.0	0	0.872	x	BR	VLI
43.907	2	2-back	1.0	1	0.919	t	TL	VLI
45.923	2	2-back	0.0	1	0.637	r	BL	VLI
47.939	2	2-back	0.0	0	0.834	n	BR	VLI
49.954	2	2-back	1.0	0	0.534	r	BR	VLI
51.97	2	2-back	0.0	1	0.429	l	TR	VLI
53.986	2	2-back	0.0	0	n/a	v	BL	VLI
56.002	2	2-back	1.0	0	0.514	l	BR	VLI
58.017	2	2-back	1.0	0	0.003	v	TR	VLI
60.033	2	2-back	0.0	1	0.678	s	BL	VLI
62.049	2	2-back	0.0	0	n/a	t	BR	VLI
64.065	2	2-back	0.0	1	0.066	c	BR	VLI
66.08	2	2-back	1.0	1	0.665	t	TR	VLI
68.096	2	2-back	0.0	0	n/a	n	TL	VLI
70.112	2	2-back	0.0	1	0.968	l	BR	VLI
72.128	2	2-back	1.0	0	0.642	n	TR	VLI
74.143	2	2-back	0.0	0	n/a	p	TL	VLI
76.159	2	2-back	0.0	1	0.401	x	BL	VLI
78.175	2	2-back	1.0	0	0.275	p	TR	VLI
80.19	2	2-back	0.0	1	0.444	f	BR	VLI
82.206	2	2-back	0.0	1	0.369	z	TL	VLI
84.222	2	2-back	1.0	0	0.343	f	TR	VLI
86.238	2	2-back	0.0	1	0.219	r	BL	VLI
88.253	2	2-back	0.0	1	0.383	x	BR	VLI
90.269	2	2-back	1.0	0	n/a	r	TR	VLI
92.285	2	2-back	0.0	1	0.065	g	BL	VLI
94.301	2	2-back	0.0	0	n/a	z	BL	VLI
96.316	2	2-back	1.0	0	n/a	g	TL	VLI
98.332	2	2-back	1.0	0	n/a	z	BR	VLI
104.396	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLI
106.445	2	baseline	1.0	1	0.485	redcross.bmp	n/a	VLI
108.494	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLI
110.543	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLI
112.592	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLI
114.641	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLI
116.69	2	baseline	1.0	1	0.51	redcross.bmp	n/a	VLI
118.739	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLI
120.788	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLI
122.837	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLI
124.886	2	baseline	1.0	1	0.898	redcross.bmp	n/a	VLI
126.935	2	baseline	1.0	1	0.644	redcross.bmp	n/a	VLI
132.983	1.8	no_response	n/a	0	0.902	l	TR	VLI
134.782	2	1-back	1.0	1	0.969	l	BL	VLI
136.798	2	1-back	0.0	1	0.665	s	TR	VLI
138.813	2	1-back	0.0	1	0.818	z	BL	VLI
140.829	2	1-back	0.0	0	n/a	t	TL	VLI
142.845	2	1-back	0.0	1	0.869	x	BR	VLI
144.86	2	1-back	1.0	1	0.952	x	TL	VLI
146.876	2	1-back	0.0	1	0.756	n	BL	VLI
148.892	2	1-back	0.0	1	0.854	s	TR	VLI
150.908	2	1-back	0.0	1	0.869	l	BR	VLI
152.923	2	1-back	1.0	0	0.98	l	TL	VLI
154.939	2	1-back	0.0	1	0.667	g	BR	VLI
156.955	2	1-back	1.0	1	0.93	g	TR	VLI
158.971	2	1-back	0.0	1	0.466	r	TL	VLI
160.986	2	1-back	1.0	0	0.859	r	TR	VLI
163.002	2	1-back	0.0	1	0.885	x	BL	VLI
165.018	2	1-back	0.0	0	0.916	p	TR	VLI
167.033	2	1-back	1.0	0	1.131	p	TL	VLI
169.049	2	1-back	0.0	0	n/a	c	TR	VLI
171.065	2	1-back	0.0	1	0.796	r	BL	VLI
173.081	2	1-back	0.0	0	n/a	f	TR	VLI
175.096	2	1-back	1.0	0	0.751	f	BR	VLI
177.112	2	1-back	1.0	0	0.49	f	BL	VLI
179.128	2	1-back	0.0	1	0.814	c	TL	VLI
181.144	2	1-back	0.0	0	0.926	z	BL	VLI
183.159	2	1-back	1.0	1	0.661	z	BR	VLI
185.175	2	1-back	0.0	1	1.113	v	BL	VLI
187.191	2	1-back	0.0	1	0.826	p	TL	VLI
189.207	2	1-back	1.0	1	0.792	p	TR	VLI
191.222	2	1-back	0.0	1	0.75	n	BR	VLI
193.238	2	1-back	0.0	0	0.578	s	BL	VLI
195.254	2	1-back	1.0	0	n/a	s	TL	VLI
197.269	2	1-back	0.0	1	0.74	z	TR	VLI
199.285	2	1-back	0.0	0	0.631	v	BL	VLI
201.301	2	1-back	0.0	1	0.053	t	BR	VLI
203.317	2	1-back	1.0	0	0.927	t	TL	VLI
205.332	2	1-back	1.0	0	n/a	t	BR	VLI
207.348	2	1-back	0.0	1	1.058	g	TL	VLI
209.364	2	1-back	0.0	1	0.609	x	BR	VLI
211.38	2	1-back	0.0	1	0.632	g	BL	VLI
213.395	2	1-back	0.0	1	0.608	c	TL	VLI
215.411	2	1-back	1.0	0	0.799	c	TR	VLI
217.427	2	1-back	0.0	0	0.639	v	BR	VLI
219.443	2	1-back	1.0	1	0.674	v	TL	VLI
221.458	2	1-back	0.0	1	0.539	f	TR	VLI
223.474	2	1-back	0.0	0	0.52	r	BR	VLI
225.49	2	1-back	0.0	0	0.812	n	BL	VLI
227.505	2	1-back	1.0	1	0.694	n	BR	VLI
233.569	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLI
235.618	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLI
237.667	2	baseline	1.0	1	1.06	redcross.bmp	n/a	VLI
239.716	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLI
241.765	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLI
243.814	2	baseline	1.0	1	0.601	redcross.bmp	n/a	VLI
245.863	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLI
247.912	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLI
249.961	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLI
252.01	2	baseline	1.0	1	0.409	redcross.bmp	n/a	VLI
254.059	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLI
256.109	2	baseline	1.0	1	0.603	redcross.bmp	n/a	VLI
